324.1084 	EXP 	Rect: autoDraw = None
324.1084 	EXP 	Rect: autoDraw = None
324.6094 	EXP 	Rect: autoDraw = None
324.7373 	EXP 	Rect: autoDraw = None
324.7892 	EXP 	Rect: autoDraw = None
325.1291 	DATA 	Keypress: space
325.2868 	EXP 	Rect: autoDraw = None
326.0824 	EXP 	New trial (rep=0, index=4): {u'target_side': u'left', u'target_time': 50, u'cue_side': u'right'}
326.1060 	EXP 	TextStim: autoDraw = None
326.1060 	EXP 	Rect: autoDraw = None
326.1060 	EXP 	Rect: autoDraw = None
326.1060 	EXP 	Rect: autoDraw = None
326.1060 	EXP 	Rect: autoDraw = None
326.1060 	EXP 	Rect: autoDraw = None
326.1060 	EXP 	TextStim: opacity = None
326.1060 	EXP 	Set debugText opacity=0.0
326.1060 	EXP 	Set debugText text=targetStart: 0.55
target_time: 50
target_side: left
cue_side: right
326.1060 	EXP 	Rect: pos = None
326.1060 	EXP 	Set cue pos=[ 8.  0.]
326.1060 	EXP 	Rect: pos = None
326.1060 	EXP 	Set target pos=[-8.  0.]
326.1060 	EXP 	Rect: opacity = None
326.1060 	EXP 	Set target opacity=1.0
326.1060 	EXP 	TextStim: autoDraw = None
326.1060 	EXP 	Rect: autoDraw = None
326.1060 	EXP 	Rect: autoDraw = None
326.1060 	EXP 	Rect: autoDraw = None
326.6072 	EXP 	Rect: autoDraw = None
326.6385 	EXP 	Rect: autoDraw = None
326.7393 	EXP 	Rect: autoDraw = None
327.0106 	DATA 	Keypress: space
327.1380 	EXP 	Rect: autoDraw = None
328.0850 	EXP 	New trial (rep=0, index=5): {u'target_side': u'central', u'target_time': 50, u'cue_side': u'right'}
328.1174 	EXP 	TextStim: autoDraw = None
328.1174 	EXP 	Rect: autoDraw = None
328.1174 	EXP 	Rect: autoDraw = None
328.1174 	EXP 	Rect: autoDraw = None
328.1174 	EXP 	Rect: autoDraw = None
328.1174 	EXP 	Rect: autoDraw = None
328.1174 	EXP 	TextStim: opacity = None
328.1174 	EXP 	Set debugText opacity=0.0
328.1174 	EXP 	Set debugText text=targetStart: 0.55
target_time: 50
target_side: central
cue_side: right
328.1174 	EXP 	Rect: pos = None
328.1174 	EXP 	Set cue pos=[ 8.  0.]
328.1174 	EXP 	Rect: pos = None
328.1174 	EXP 	Set target pos=[ 0.  0.]
328.1174 	EXP 	Rect: opacity = None
328.1174 	EXP 	Set target opacity=1.0
328.1174 	EXP 	TextStim: autoDraw = None
328.1174 	EXP 	Rect: autoDraw = None
328.1174 	EXP 	Rect: autoDraw = None
328.1174 	EXP 	Rect: autoDraw = None
328.6184 	EXP 	Rect: autoDraw = None
328.6395 	EXP 	Rect: autoDraw = None
328.7403 	EXP 	Rect: autoDraw = None
328.9305 	DATA 	Keypress: space
329.1411 	EXP 	Rect: autoDraw = None
330.0827 	EXP 	New trial (rep=0, index=6): {u'target_side': u'central', u'target_time': 350, u'cue_side': u'right'}
330.1071 	EXP 	TextStim: autoDraw = None
330.1071 	EXP 	Rect: autoDraw = None
330.1071 	EXP 	Rect: autoDraw = None
330.1071 	EXP 	Rect: autoDraw = None
330.1071 	EXP 	Rect: autoDraw = None
330.1071 	EXP 	Rect: autoDraw = None
330.1071 	EXP 	TextStim: opacity = None
330.1071 	EXP 	Set debugText opacity=0.0
330.1071 	EXP 	Set debugText text=targetStart: 0.85
target_time: 350
target_side: central
cue_side: right
330.1071 	EXP 	Rect: pos = None
330.1071 	EXP 	Set cue pos=[ 8.  0.]
330.1071 	EXP 	Rect: pos = None
330.1071 	EXP 	Set target pos=[ 0.  0.]
330.1071 	EXP 	Rect: opacity = None
330.1071 	EXP 	Set target opacity=1.0
330.1071 	EXP 	TextStim: autoDraw = None
330.1071 	EXP 	Rect: autoDraw = None
330.1071 	EXP 	Rect: autoDraw = None
330.1071 	EXP 	Rect: autoDraw = None
330.6085 	EXP 	Rect: autoDraw = None
330.7368 	EXP 	Rect: autoDraw = None
330.9380 	EXP 	Rect: autoDraw = None
331.3522 	DATA 	Keypress: space
331.4389 	EXP 	Rect: autoDraw = None
332.0834 	EXP 	New trial (rep=0, index=7): {u'target_side': u'none', u'target_time': 200, u'cue_side': u'left'}
332.1089 	EXP 	TextStim: autoDraw = None
332.1089 	EXP 	Rect: autoDraw = None
332.1089 	EXP 	Rect: autoDraw = None
332.1089 	EXP 	Rect: autoDraw = None
332.1089 	EXP 	Rect: autoDraw = None
332.1089 	EXP 	Rect: autoDraw = None
332.1089 	EXP 	TextStim: opacity = None
332.1089 	EXP 	Set debugText opacity=0.0
332.1089 	EXP 	Set debugText text=targetStart: 0.7
target_time: 200
target_side: none
cue_side: left
332.1089 	EXP 	Rect: pos = None
332.1089 	EXP 	Set cue pos=[-8.  0.]
332.1089 	EXP 	Rect: pos = None
332.1089 	EXP 	Set target pos=[ 0.  0.]
332.1089 	EXP 	Rect: opacity = None
332.1089 	EXP 	Set target opacity=0.0
332.1089 	EXP 	TextStim: autoDraw = None
332.1089 	EXP 	Rect: autoDraw = None
332.1089 	EXP 	Rect: autoDraw = None
332.1089 	EXP 	Rect: autoDraw = None
332.6097 	EXP 	Rect: autoDraw = None
332.7382 	EXP 	Rect: autoDraw = None
332.7902 	EXP 	Rect: autoDraw = None
333.2900 	EXP 	Rect: autoDraw = None
334.0834 	EXP 	New trial (rep=0, index=8): {u'target_side': u'none', u'target_time': 50, u'cue_side': u'left'}
334.1138 	EXP 	TextStim: autoDraw = None
334.1138 	EXP 	Rect: autoDraw = None
334.1138 	EXP 	Rect: autoDraw = None
334.1138 	EXP 	Rect: autoDraw = None
334.1138 	EXP 	Rect: autoDraw = None
334.1138 	EXP 	Rect: autoDraw = None
334.1138 	EXP 	TextStim: opacity = None
334.1138 	EXP 	Set debugText opacity=0.0
334.1138 	EXP 	Set debugText text=targetStart: 0.55
target_time: 50
target_side: none
cue_side: left
334.1138 	EXP 	Rect: pos = None
334.1138 	EXP 	Set cue pos=[-8.  0.]
334.1138 	EXP 	Rect: pos = None
334.1138 	EXP 	Set target pos=[ 0.  0.]
334.1138 	EXP 	Rect: opacity = None
334.1138 	EXP 	Set target opacity=0.0
334.1138 	EXP 	TextStim: autoDraw = None
334.1138 	EXP 	Rect: autoDraw = None
334.1138 	EXP 	Rect: autoDraw = None
334.1138 	EXP 	Rect: autoDraw = None
334.6149 	EXP 	Rect: autoDraw = None
334.6392 	EXP 	Rect: autoDraw = None
334.7396 	EXP 	Rect: autoDraw = None
335.1403 	EXP 	Rect: autoDraw = None
336.0826 	EXP 	New trial (rep=0, index=9): {u'target_side': u'left', u'target_time': 50, u'cue_side': u'left'}
336.1139 	EXP 	TextStim: autoDraw = None
336.1139 	EXP 	Rect: autoDraw = None
336.1139 	EXP 	Rect: autoDraw = None
